videoId,channelTitle,publishedAt,channelId,title
YS4e4q9oBaU,freeCodeCamp.org,2019-06-20T12:39:54Z,UC8butISFwT-Wl7EV0hUK0BQ,Learn Go Programming - Golang Tutorial for Beginners
CF9S4QZuV30,Derek Banas,2015-02-16T02:30:25Z,UCwRXb5dUK4cvsHbx-rGzSgw,Go Programming
C8LgvuEBraI,Jake Wright,2018-01-28T16:37:49Z,UCc1Pn7FxieMohCZFPYEbs7w,Learn Go in 12 Minutes
rKnDgT73v8s,Google TechTalks,2009-11-10T22:55:04Z,UCtXKDgv1AVoG88PLl8nGXmw,The Go Programming Language
wwoWei-GAPo,Google Developers,2009-11-10T19:28:13Z,UC_x5XG1OV2P6uZZ5FSM9Ttw,The Go Programming Language Promo
XCsL89YtqCs,The Go Programming Language,2012-10-26T22:34:12Z,UCO3LEtymiLrgvpb59cNsb8A,"Writing, building, installing, and testing Go code"
Vlie-srOU8c,Learn To Code,2015-05-08T06:06:39Z,UCElzlyMtkoXaO3kFa5HL0Xw,Build Web Apps with Go Language (golang)
G3PvTWRIhZA,sentdex,2017-10-21T17:58:19Z,UCfzlCWGWYyIQ0aLC5w48gBQ,Introduction - Go Lang Practical Programming Tutorial p.1
VDaMhtWNSQU,ÅE∏ÅEàÎìú ÅEîÎçî Nomad Coders,2019-11-25T13:31:29Z,UCUpJs89fSBXNolQGOYKn0YQ,ÅEÅEÅE¨ÅEÄÅEÅE˙∞ÅE°úÍ∑∏ÅEòÎ∞ÅEÅE∏ÅE¥ GoÅEÄ ÅEÅEÇò ˙±´˙±úÍ±¥ÅEÄ 5ÅEÅEÅE§ÅEÅE
SqrbIlUwR0U,Traversy Media,2018-09-18T20:17:43Z,UC29ju8bIPH5as8OGnQzwJyA,Go / Golang Crash Course
K2kNit7KcX0,Microchip Technology,2010-06-28T21:08:06Z,UCU_N4jDOub9J8splDAPiMWA,PICkit‚Ñ¢ 3 Programmer To-Go Function
SonwZ6MF5BE,Traversy Media,2018-01-10T18:06:22Z,UC29ju8bIPH5as8OGnQzwJyA,Golang REST API With Mux
I6f0g0xfuF8,edureka!,2018-09-24T15:55:46Z,UCkw4JCwteGrDHIsyIIKo4tQ,Go vs Python Comparison | Which Language You Should Learn In 2018? | Edureka
O9upVbGSBFo,Lex Fridman,2020-07-18T19:24:51Z,UCSHZKyawb77ixDdsGog4iWA,"Brian Kernighan: UNIX, C, AWK, AMPL, and Go Programming | Lex Fridman Podcast #109"
PAAkCSZUG1c,The Go Programming Language,2015-12-01T18:58:18Z,UCO3LEtymiLrgvpb59cNsb8A,"Go Proverbs - Rob Pike - Gopherfest - November 18, 2015"
s_gRXOsrDAA,Microsoft Developer,2018-10-02T16:05:05Z,UCsMica-v34Irf9KVTh6xx-g,All About Go
W5b64DXeP0o,TutorialEdge,2018-02-02T19:42:21Z,UCwFl9Y49sWChrddQTD9QhRA,Creating a Simple RESTful API in Go - Part 1
#NAME?,sentdex,2017-10-21T17:59:06Z,UCfzlCWGWYyIQ0aLC5w48gBQ,Simple Web App - Go Lang Practical Programming Tutorial p.5
2unpSyJsTOU,Hex Murder,2017-06-12T10:33:58Z,UCvR9cAFtRebcC9uj1bgndpA,Coding a CS:GO Aimbot From Scratch [Time Lapse]
nSYFfWijl8U,sentdex,2017-10-21T17:58:44Z,UCfzlCWGWYyIQ0aLC5w48gBQ,Syntax - Go Lang Practical Programming Tutorial p.2
jgVhBThJdXc,Google Developers,2010-05-29T03:07:41Z,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google I/O 2010 - Go Programming
PkgYxKs4DZA,Cl√©ment Mihailescu,2020-06-18T17:45:00Z,UCaO6VoaYJv4kS-TQO_M-N_g,The FASTEST Way To Learn A New Programming Language
Q0sKAMal4WQ,edureka!,2018-09-17T06:47:33Z,UCkw4JCwteGrDHIsyIIKo4tQ,Go Programming Language Tutorial | Golang Tutorial For Beginners | Go Language Training | Edureka
ZJ6dVVobjaI,Federico Terzi,2020-09-11T21:09:13Z,UCLXAviTgz5MuJrR_rbLGNWg,Rust vs Go - Which is Better and Why?
75lJDVT1h0s,Tech With Tim,2020-05-14T13:55:44Z,UC4JX40jDee_tINbkjycV4Sg,Golang Tutorial #1 - An Introduction to Go Programming
