videoId,channelTitle,publishedAt,channelId,title,viewCount,likeCount,dislikeCount,commentCount
rfscVS0vtbw,freeCodeCamp.org,2018-07-11T18:00:42Z,UC8butISFwT-Wl7EV0hUK0BQ,Learn Python - Full Course for Beginners [Tutorial],22577484,560833,6051,32512
_uQrJ0TkZlc,Programming with Mosh,2019-02-18T15:00:08Z,UCWv7vMbMWH4-V0ZXdmDpPBA,Python Tutorial - Python for Beginners [Full Course],16808510,514355,4018,40122
Z1Yd7upQsXY,CS Dojo,2017-12-26T14:57:53Z,UCxX9wt5FWQUAAz4UrysqK9A,Python Tutorial for Absolute Beginners #1 - What Are Variables?,6430303,142404,1977,7649
N4mEzFDjqtA,Derek Banas,2014-11-10T19:59:22Z,UCwRXb5dUK4cvsHbx-rGzSgw,Python Programming,5340209,72003,1723,6348
k6U-i4gXkLM,MIT OpenCourseWare,2009-08-20T04:26:04Z,UCEBb1b_L6zDS3xTUrIALZOw,"Lec 1 | MIT 6.00 Introduction to Computer Science and Programming, Fall 2008",5289938,46860,876,3304
QXeEoD0pB3E,Telusko,2018-08-16T08:58:58Z,UC59K-uG2A5ogwIrHw4bmlEg,#0 Python Tutorial | Python Programming Tutorial for Beginners | Course Introduction,3540833,39475,489,874
rbasThWVb-c,Engineer Man,2017-06-10T22:36:28Z,UCrUL8K81R4VBzm-KOYwrcxQ,Creating a Snake game with Python in under 5 minutes,2886082,144997,2385,5512
kLZuut1fYzQ,CS Dojo,2018-06-22T20:25:38Z,UCxX9wt5FWQUAAz4UrysqK9A,What Can You Do with Python? - The 3 Main Applications,2779562,82439,1206,2113
WGJJIrtnfpk,edureka!,2019-12-01T08:51:45Z,UCkw4JCwteGrDHIsyIIKo4tQ,Python Full Course - Learn Python in 12 Hours | Python Tutorial For Beginners | Edureka,2660093,57228,1138,933
wDIQ17T3sRk,Tech With Tim,2019-10-18T05:31:30Z,UC4JX40jDee_tINbkjycV4Sg,12 Hour Coding Livestream - Creating an Online Game with Python,2517164,53284,914,1426
hEgO047GxaQ,Telusko,2018-06-30T13:30:28Z,UC59K-uG2A5ogwIrHw4bmlEg,#1 Python Tutorial for Beginners | Introduction to Python,2363584,36789,562,918
8DvywoWv6fI,freeCodeCamp.org,2019-05-02T12:05:54Z,UC8butISFwT-Wl7EV0hUK0BQ,Python for Everybody - Full University Python Course,2237955,70108,605,2622
gfDE2a7MKjA,CodeWithHarry,2020-09-24T11:34:17Z,UCeVMnSShP_Iviwkknt83cww,Python Tutorial For Beginners In Hindi (With Notes) 🔥,2073645,101166,1058,27925
HBxCHonP6Ro,thenewboston,2014-08-26T19:55:01Z,UCJbPGzawDH1njbqV-D5HqKw,Python Programming Tutorial - 1 - Installing Python,2028762,10390,139,653
4F2m91eKmts,Clever Programmer,2019-12-21T16:00:10Z,UCqrILQNl5Ed9Dz6CGMyvMTQ,Python Tutorial for Beginners - Full Course in 11 Hours [2020],1981771,111643,2217,4634
NSbOtYzIQI0,CS Dojo,2018-01-09T04:07:29Z,UCxX9wt5FWQUAAz4UrysqK9A,How To Use Functions In Python (Python Tutorial #3),1497871,23878,360,2475
ihk_Xglr164,CodeWithHarry,2019-07-27T15:47:50Z,UCeVMnSShP_Iviwkknt83cww,Python Tutorial In Hindi 🔥,1434365,52159,1537,8677
N0lxfilGfak,edureka!,2017-02-20T14:04:21Z,UCkw4JCwteGrDHIsyIIKo4tQ,Python Tutorial for Beginners | Python Programming Language Tutorial | Python Training | Edureka,1413246,13932,506,717
1F_OgqRuSdI,Al Sweigart,2015-09-01T05:32:45Z,UCRjTEkDLPREZNlREZMlotMQ,Lesson 1 - Python Programming (Automate the Boring Stuff with Python),1403294,13359,358,0
OXi4T58PwdM,Tech With Tim,2019-06-27T16:43:48Z,UC4JX40jDee_tINbkjycV4Sg,15 Python Projects in Under 15 Minutes (Code Included),1391321,40631,727,1014
IZ0IM_T4aio,MySirG.com,2018-05-25T11:50:29Z,UCkGS_3D0HEzfflFnG0bD24A,#1 Introduction to Python | Hindi | MySirG.com,1209411,35501,1065,1545
qbW6FRbaSl0,Kalle Hallden,2019-08-16T13:00:13Z,UCWr0mx597DnSGLFk1WfvSkQ,Super quick Python automation ideas,1147252,31889,1339,1096
psaDHhZ0cPs,Graven - Développement,2018-05-07T19:00:03Z,UCIHVyohXw6j2T-83-uLngEg,APPRENDRE LE PYTHON #1 ? LES BASES &amp; PREREQUIS,1135786,23077,415,1139
eTyI-M50Hu4,Great Learning,2020-03-14T06:31:56Z,UCObs0kLIrDjX2LLSybqNaEA,Python Tutorial in Hindi | Learn Python in Hindi | Python Full Course in Hindi | Python Tutorial,1119023,36952,547,2890
CtbckFw0pJs,Durga Software Solutions,2018-01-26T19:06:24Z,UCbjozK_PYCTLEluFlrJ8UZg,Learn Python Programming Tutorial Online Training by Durga Sir On 26-01-2018,1074056,9205,538,1242
k5iEc6TP_50,Python Programmer,2019-01-03T22:05:06Z,UC68KSmHePPePCjW4v57VPQg,Don&#39;t learn to program in 2021!,1018414,39121,5581,2562
dNFgRUD2w68,ProgrammingKnowledge,2018-01-29T23:44:49Z,UCs6nmQViDpUw0nuIx9c_WvA,How to Set Up Python in Visual Studio Code on Windows 10,1006125,9248,785,520
hnxIRVZ0EyU,thenewboston,2014-08-26T19:55:05Z,UCJbPGzawDH1njbqV-D5HqKw,Python Programming Tutorial - 2 - Numbers,986049,4085,75,252
hxGB7LU4i1I,Ecourse Review,2016-05-27T07:47:38Z,UCEZi6EERpqH_iQXd-PG2keg,Python programming for beginners: What can you do with Python?,926857,8133,401,390
