videoId,channelTitle,publishedAt,channelId,title
rfscVS0vtbw,freeCodeCamp.org,2018-07-11T18:00:42Z,UC8butISFwT-Wl7EV0hUK0BQ,Learn Python - Full Course for Beginners [Tutorial]
_uQrJ0TkZlc,Programming with Mosh,2019-02-18T15:00:08Z,UCWv7vMbMWH4-V0ZXdmDpPBA,Python Tutorial - Python for Beginners [Full Course]
Z1Yd7upQsXY,CS Dojo,2017-12-26T14:57:53Z,UCxX9wt5FWQUAAz4UrysqK9A,Python Tutorial for Absolute Beginners #1 - What Are Variables?
N4mEzFDjqtA,Derek Banas,2014-11-10T19:59:22Z,UCwRXb5dUK4cvsHbx-rGzSgw,Python Programming
k6U-i4gXkLM,MIT OpenCourseWare,2009-08-20T04:26:04Z,UCEBb1b_L6zDS3xTUrIALZOw,"Lec 1 | MIT 6.00 Introduction to Computer Science and Programming, Fall 2008"
QXeEoD0pB3E,Telusko,2018-08-16T08:58:58Z,UC59K-uG2A5ogwIrHw4bmlEg,#0 Python Tutorial | Python Programming Tutorial for Beginners | Course Introduction
kLZuut1fYzQ,CS Dojo,2018-06-22T20:25:38Z,UCxX9wt5FWQUAAz4UrysqK9A,What Can You Do with Python? - The 3 Main Applications
WGJJIrtnfpk,edureka!,2019-12-01T08:51:45Z,UCkw4JCwteGrDHIsyIIKo4tQ,Python Full Course - Learn Python in 12 Hours | Python Tutorial For Beginners | Edureka
wDIQ17T3sRk,Tech With Tim,2019-10-18T05:31:30Z,UC4JX40jDee_tINbkjycV4Sg,12 Hour Coding Livestream - Creating an Online Game with Python
hEgO047GxaQ,Telusko,2018-06-30T13:30:28Z,UC59K-uG2A5ogwIrHw4bmlEg,#1 Python Tutorial for Beginners | Introduction to Python
8DvywoWv6fI,freeCodeCamp.org,2019-05-02T12:05:54Z,UC8butISFwT-Wl7EV0hUK0BQ,Python for Everybody - Full University Python Course
gfDE2a7MKjA,CodeWithHarry,2020-09-24T11:34:17Z,UCeVMnSShP_Iviwkknt83cww,Python Tutorial For Beginners In Hindi (With Notes) 🔥
HBxCHonP6Ro,thenewboston,2014-08-26T19:55:01Z,UCJbPGzawDH1njbqV-D5HqKw,Python Programming Tutorial - 1 - Installing Python
4F2m91eKmts,Clever Programmer,2019-12-21T16:00:10Z,UCqrILQNl5Ed9Dz6CGMyvMTQ,Python Tutorial for Beginners - Full Course in 11 Hours [2020]
NSbOtYzIQI0,CS Dojo,2018-01-09T04:07:29Z,UCxX9wt5FWQUAAz4UrysqK9A,How To Use Functions In Python (Python Tutorial #3)
ihk_Xglr164,CodeWithHarry,2019-07-27T15:47:50Z,UCeVMnSShP_Iviwkknt83cww,Python Tutorial In Hindi 🔥
N0lxfilGfak,edureka!,2017-02-20T14:04:21Z,UCkw4JCwteGrDHIsyIIKo4tQ,Python Tutorial for Beginners | Python Programming Language Tutorial | Python Training | Edureka
1F_OgqRuSdI,Al Sweigart,2015-09-01T05:32:45Z,UCRjTEkDLPREZNlREZMlotMQ,Lesson 1 - Python Programming (Automate the Boring Stuff with Python)
OXi4T58PwdM,Tech With Tim,2019-06-27T16:43:48Z,UC4JX40jDee_tINbkjycV4Sg,15 Python Projects in Under 15 Minutes (Code Included)
IZ0IM_T4aio,MySirG.com,2018-05-25T11:50:29Z,UCkGS_3D0HEzfflFnG0bD24A,#1 Introduction to Python | Hindi | MySirG.com
qbW6FRbaSl0,Kalle Hallden,2019-08-16T13:00:13Z,UCWr0mx597DnSGLFk1WfvSkQ,Super quick Python automation ideas
psaDHhZ0cPs,Graven - Développement,2018-05-07T19:00:03Z,UCIHVyohXw6j2T-83-uLngEg,APPRENDRE LE PYTHON #1 ? LES BASES &amp; PREREQUIS
eTyI-M50Hu4,Great Learning,2020-03-14T06:31:56Z,UCObs0kLIrDjX2LLSybqNaEA,Python Tutorial in Hindi | Learn Python in Hindi | Python Full Course in Hindi | Python Tutorial
CtbckFw0pJs,Durga Software Solutions,2018-01-26T19:06:24Z,UCbjozK_PYCTLEluFlrJ8UZg,Learn Python Programming Tutorial Online Training by Durga Sir On 26-01-2018
k5iEc6TP_50,Python Programmer,2019-01-03T22:05:06Z,UC68KSmHePPePCjW4v57VPQg,Don&#39;t learn to program in 2021!
